algorithm,training_seed,timesteps,n_validation_tracks,mean_validation_reward,std_validation_reward_across_tracks,median_validation_reward,min_validation_reward,max_validation_reward,mean_validation_episode_length
ppo,11,175000,5,369.6224902,313.59637639682893,376.340694,-1.288889,867.391304,824.4
ppo,11,200000,5,517.2669734,332.2199748593385,657.097792,82.156134,852.898551,1000.0
ppo,11,225000,5,530.5831482000001,304.5946401911611,486.750789,111.111111,921.8,956.4
ppo,11,250000,5,338.1505098,348.06557558237563,155.555556,-35.849057,902.6,994.8
ppo,11,275000,5,529.943162,189.6097419808022,468.427509,303.039623,860.144928,977.0
ppo,11,300000,5,542.7613168,180.36051462920233,439.432177,379.245283,863.768116,1000.0
ppo,11,325000,5,671.800872,144.54315756583773,677.777778,508.832808,873.977695,946.6
ppo,11,350000,5,535.0015698,294.26279369384616,398.422713,141.666667,889.130435,1000.0
ppo,11,375000,5,656.9225426,163.69649047297665,694.444444,401.577287,856.521739,997.0
ppo,11,400000,5,746.3131088,110.8611227194133,813.207547,594.006309,855.390335,1000.0
ppo,11,425000,5,667.0192264,249.48428324311334,858.490566,313.888889,878.26087,1000.0
ppo,11,450000,5,673.5290076,217.34333971094978,758.695652,408.333333,910.3,979.4
ppo,11,475000,5,547.5706444,326.5539212868407,663.40694,44.444444,926.6,946.8
ppo,11,500000,5,845.8266848,36.37960462244707,840.063091,791.666667,896.282528,1000.0
ppo,11,525000,5,690.0236198,169.66372741983275,616.088328,462.264151,896.282528,1000.0
ppo,11,550000,5,504.00695260000003,266.1723215517001,409.433962,199.684543,825.650558,1000.0
ppo,11,575000,5,679.3191569999999,215.02025854155517,798.113208,388.958991,924.6,950.8
ppo,11,600000,5,535.6267552,231.60612001074503,509.665428,188.888889,871.014493,1000.0
ppo,11,625000,5,542.9887951999999,234.8066312386912,369.444444,333.962264,834.782609,1000.0
ppo,11,650000,5,597.308331,277.1146428334851,679.179811,65.326022,854.716981,863.6
ppo,11,675000,5,609.5388479999999,279.0926246661409,801.886792,147.222222,849.275362,1000.0
ppo,11,700000,5,813.4409184,169.69078007860685,906.9,477.777778,920.1,920.2
ppo,11,725000,5,660.1997748,333.13940577832904,790.566038,3.833333,885.507246,859.2
ppo,11,750000,5,498.571255,360.13942630288756,660.252366,36.111111,867.391304,1000.0
ppo,11,775000,5,481.99725480000006,254.82699838666443,405.660377,108.178439,842.028986,1000.0
ppo,11,800000,5,846.4755293999999,54.56363641818282,881.072555,775.0,908.1,983.8
ppo,11,825000,5,788.6077932000001,91.69936412159167,843.396226,669.444444,881.884058,1000.0
ppo,11,850000,5,509.2627784,329.80020260012054,379.495268,28.351301,892.45283,863.2
ppo,11,875000,5,631.0633408000001,312.28773005212304,816.666667,36.111111,877.695167,1000.0
ppo,11,900000,5,723.7418101999999,344.3883963352166,892.45283,36.111111,923.1,944.0
ppo,11,925000,5,625.6080530000002,240.38542791940102,586.111111,356.603774,920.7,958.6
ppo,11,950000,5,852.5155834000001,47.20542979537862,858.490566,786.111111,922.3,955.4
ppo,11,975000,5,832.5453428000001,61.04403573053986,839.622642,723.343849,904.5,991.0
ppo,11,1000000,5,831.0676646,112.55149881079637,889.130435,613.888889,926.0,948.0
ppo,12,25000,5,226.6943786,132.06386324068004,145.35316,111.111111,439.855072,1000.0
ppo,12,50000,5,119.3842478,84.58869323797806,146.056782,-22.455556,233.333333,865.6
ppo,12,75000,5,626.7561026,254.37189287521613,710.725552,216.666667,914.7,970.6
ppo,12,100000,5,444.3122972,289.78606112387746,479.925651,-39.622642,863.768116,1000.0
ppo,12,125000,5,465.22050980000006,288.5666795760468,441.666667,30.073606,842.028986,848.8
ppo,12,150000,5,561.2358612,194.33192565852536,602.60223,302.777778,842.028986,1000.0
ppo,12,175000,5,677.2004442,180.30477587188494,741.666667,390.566038,922.3,955.4
ppo,12,200000,5,-93.18136100000001,0.7679204140534365,-92.753623,-94.444444,-92.45283,1000.0
ppo,12,225000,5,-93.18136100000001,0.7679204140534365,-92.753623,-94.444444,-92.45283,1000.0
ppo,12,250000,5,-39.8529424,44.49768431579128,-47.169811,-87.381703,34.057971,1000.0
