rollout/ep_len_mean,rollout/ep_rew_mean,time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/learning_rate,train/entropy_loss,train/n_updates,train/value_loss,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/approx_kl,train/loss,train/explained_variance
999.68,479.56074348999994,106,6088,217088,35,0.0003,-0.4489332570694387,1050,4.406036585569382,0.2,0.210693359375,-0.0002831742298440076,0.031499363,0.8941946625709534,0.8934990093111992
999.68,488.76918832999996,107,6138,219136,35,0.0003,-0.39511885759420695,1060,4.239669254235923,0.2,0.197265625,-0.001764499003184028,0.03226138,1.1198978424072266,0.8670909851789474
999.68,493.9734169399998,108,6189,221184,35,0.0003,-0.49895405815914273,1070,5.798480004072189,0.2,0.21943359375,0.0030676976093673147,0.02505279,0.913688600063324,0.9309412688016891
999.68,507.6865658599999,109,6240,223232,35,0.0003,-0.3914204207248986,1080,6.418294535204768,0.2,0.19541015625,-0.006976594003208447,0.053913314,0.9260773062705994,0.7824198007583618
998.94,519.94334529,110,6373,225280,35,0.0003,-0.34371272744610903,1090,6.449937327578664,0.2,0.198681640625,0.008920139609836042,0.052498814,1.3366693258285522,0.8006384968757629
998.94,526.88940109,111,6424,227328,35,0.0003,-0.25585412718355655,1100,6.215531298518181,0.2,0.144287109375,6.938555598026141e-05,0.023638336,0.740788459777832,0.8156953752040863
998.74,532.31615604,112,6476,229376,35,0.0003,-0.3116681944113225,1110,11.547239229828119,0.2,0.17802734375,0.0021917835008935073,0.037366,3.8463797569274902,0.821082279086113
998.74,539.11241691,113,6530,231424,35,0.0003,-0.3211145309731364,1120,5.495459086820484,0.2,0.183447265625,0.006704883532074745,0.041704953,1.3979507684707642,0.8306477665901184
998.74,553.4311642099999,114,6584,233472,35,0.0003,-0.36250732420012355,1130,13.25503187328577,0.2,0.193505859375,-0.00684493453882169,0.13857476,0.9120476245880127,0.8051905930042267
998.74,566.25646646,115,6636,235520,35,0.0003,-0.31707883332856,1140,14.054772234708071,0.2,0.14228515625,-0.0039060871335095727,0.045132466,2.1792283058166504,0.6857393383979797
998.74,576.47998438,116,6687,237568,35,0.0003,-0.37222614730708303,1150,13.517901463806629,0.2,0.21318359375,-0.007139052959973924,0.11696715,1.8426207304000854,0.6519708037376404
998.74,580.36406516,117,6738,239616,35,0.0003,-0.6125519237481057,1160,5.495856976509094,0.2,0.252880859375,-0.006368044296687003,0.07862253,0.776405394077301,0.9218057990074158
998.74,574.64815793,118,6788,241664,35,0.0003,-0.8430689053609968,1170,3.507732375245541,0.2,0.398388671875,-0.02144640082551632,0.18995276,0.8794520497322083,0.954197995364666
998.74,564.12491387,119,6837,243712,35,0.0003,-0.9391644475981593,1180,3.251413815189153,0.2,0.29326171875,-0.0028153633866168093,0.06270326,0.2407611906528473,0.9496009275317192
998.74,560.9534864899999,120,6888,245760,35,0.0003,-1.1305280601605774,1190,2.048749404819682,0.2,0.355859375,0.003747971565462649,0.08998083,0.23529115319252014,0.9391493946313858
998.74,562.87218722,121,6938,247808,35,0.0003,-0.8037582179531455,1200,2.7777745351195335,0.2,0.208642578125,0.0025959158636396753,0.031152057,0.35410621762275696,0.932353638112545
998.74,558.6963777,122,6989,249856,35,0.0003,-0.8851806016638875,1210,2.162684802431613,0.2,0.236279296875,-0.012164374288113322,0.027394509,0.476100355386734,0.9593945518136024
998.74,552.4480336299998,123,7113,251904,35,0.0003,-0.5557858819141984,1220,7.821414629556239,0.2,0.263232421875,-0.028735949001566043,0.39746153,0.6491393446922302,0.874824270606041
998.74,555.8859543599999,124,7165,253952,35,0.0003,-0.7781707510352135,1230,3.5109583826735618,0.2,0.22373046875,-0.011684683588828192,0.04307894,0.5872380137443542,0.9598639868199825
998.74,561.2962474600001,125,7219,256000,35,0.0003,-0.3279175082221627,1240,4.1745774846524,0.2,0.157568359375,0.0012810153872123919,0.05128944,1.142287015914917,0.9133172035217285
998.74,566.4976429,126,7272,258048,35,0.0003,-0.35539991878904403,1250,3.3497395627200603,0.2,0.173779296875,0.0038219327685510506,0.027792558,0.8033432960510254,0.9182035699486732
998.74,579.73976386,127,7327,260096,35,0.0003,-0.4005461550317705,1260,7.111709461733699,0.2,0.177685546875,0.0006199780415045098,0.051967494,1.9554743766784668,0.7988069653511047
998.74,576.53550987,128,7384,262144,35,0.0003,-0.3613513431046158,1270,4.321771596372128,0.2,0.172607421875,0.00333054685179377,0.047612812,1.0576366186141968,0.8702174425125122
998.74,574.74445834,129,7446,264192,35,0.0003,-0.41135788056999445,1280,3.2958369119092823,0.2,0.21220703125,-0.003512317527201958,0.11039374,0.5494378805160522,0.8186222016811371
998.74,578.57318972,130,7515,266240,35,0.0003,-0.39467772776260973,1290,7.617670584097505,0.2,0.198095703125,0.006801353361515794,0.051509965,0.8260319232940674,0.8426620364189148
998.74,590.12462019,131,7585,268288,35,0.0003,-0.3029447058681399,1300,14.553455922007561,0.2,0.155859375,0.0007468876166967676,0.037939347,2.9635183811187744,0.7378778457641602
998.74,591.5036117099999,132,7641,270336,35,0.0003,-0.27845355425961316,1310,5.729210656508803,0.2,0.129638671875,0.0014122829525149427,0.034977466,1.119293212890625,0.7651709765195847
998.74,600.4201416899999,133,7694,272384,35,0.0003,-0.6245571441948414,1320,4.685386890359223,0.2,0.250537109375,-0.007020524493418634,0.039544336,0.40373846888542175,0.9411927759647369
998.74,605.92864004,134,7747,274432,35,0.0003,-0.5390081285499037,1330,4.425687442533672,0.2,0.248486328125,-0.005612881318666041,0.044998936,1.0887657403945923,0.9562505669891834
999.06,605.58309678,135,7879,276480,35,0.0003,-0.3661536463070661,1340,3.177415584772825,0.2,0.1818359375,-4.4347955554258076e-05,0.03484917,0.5018516778945923,0.7603404521942139
999.06,604.6244821299999,136,7932,278528,35,0.0003,-0.39711390286684034,1350,3.2764342160895468,0.2,0.223291015625,0.0018242899910546838,0.119147986,0.5947825312614441,0.8446964025497437
997.96,601.6040924699998,137,7986,280576,35,0.0003,-0.3992924553807825,1360,4.221190017275513,0.2,0.192919921875,-0.003193833021214232,0.05759267,0.4384840726852417,0.9040848165750504
996.55,607.62652944,138,8039,282624,35,0.0003,-0.44661339577287434,1370,3.083545436896384,0.2,0.2044921875,0.0002779920418106485,0.029788388,0.7117151618003845,0.9692617747932673
996.55,609.0783885799999,139,8092,284672,35,0.0003,-0.23380231321789324,1380,4.040569357946515,0.2,0.144189453125,0.007257905523874797,0.02620463,0.6144906282424927,0.829219862818718
996.55,621.97463433,140,8145,286720,35,0.0003,-0.2237560176756233,1390,8.037845660373568,0.2,0.133544921875,0.006436963967280463,0.051307738,1.9030876159667969,0.6996899843215942
996.55,617.8446017299999,141,8197,288768,35,0.0003,-0.2988202279899269,1400,9.40013095550239,0.2,0.15830078125,0.0008125616106553935,0.03636456,1.5761585235595703,0.847013384103775
996.55,620.8072205899999,142,8252,290816,35,0.0003,-0.6469523627310991,1410,5.520812661573291,0.2,0.25791015625,-0.021943931841087762,0.20710365,0.8361304402351379,0.9528928138315678
996.55,619.8356998300001,143,8317,292864,35,0.0003,-0.4808530079200864,1420,6.3650312222540375,0.2,0.2791015625,0.014000618575664703,0.06122877,2.80769681930542,0.8778103962540627
